athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
"Hall, Anna",Florida,SEC,100H,2022,SO-2,,,13.15,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,-0.2,Outdoor,https://www.tfrrs.org/results/75224/4567514/NCAA_Division_I_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Lester, Sterling",Florida,SEC,100H,2022,JR-3,,,13.43,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,1.7,Outdoor,https://www.tfrrs.org/results/75224/4567514/NCAA_Division_I_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Hall, Anna",Florida,SEC,400H,2022,SO-2,,,54.48,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,,Outdoor,https://www.tfrrs.org/results/75224/4567498/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Hall, Anna",Florida,SEC,400H,2022,SO-2,,,54.76,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,,Outdoor,https://www.tfrrs.org/results/75224/4567498/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Watson, Vanessa",Florida,SEC,400H,2022,SO-2,,,56.75,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,,Outdoor,https://www.tfrrs.org/results/75224/4567498/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Watson, Vanessa",Florida,SEC,400H,2022,SO-2,,,56.83,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,,Outdoor,https://www.tfrrs.org/results/75224/4567498/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
"Diggs, Talitha",Florida,SEC,400m,2022,SO-2,,,49.99,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,,Outdoor,https://www.tfrrs.org/results/75224/4567521/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Diggs, Talitha",Florida,SEC,400m,2022,SO-2,,,50.08,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,,Outdoor,https://www.tfrrs.org/results/75224/4567521/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Manson, Taylor",Florida,SEC,400m,2022,SR-4,,,51.65,seconds,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,,Outdoor,https://www.tfrrs.org/results/75224/4567521/NCAA_Division_I_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Bryant, Claire",Florida,SEC,Long Jump,2022,SO-2,,,6.51,m,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,1.4,Outdoor,https://www.tfrrs.org/results/75224/4567509/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Hall, Anna",Florida,SEC,Long Jump,2022,SO-2,,,6.27,m,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,0.9,Outdoor,https://www.tfrrs.org/results/75224/4567518/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Lester, Sterling",Florida,SEC,Long Jump,2022,JR-3,,,5.66,m,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,0.9,Outdoor,https://www.tfrrs.org/results/75224/4567518/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Moore, Jasmine",Florida,SEC,Long Jump,2022,SO-2,,,6.72,m,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,0.2,Outdoor,https://www.tfrrs.org/results/75224/4567509/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.68,seconds,Georgia Tech Yellow Jacket Invitational,2022-03-18,,,0.4,Outdoor,https://www.tfrrs.org/results/73542/4425687/Georgia_Tech_Yellow_Jacket_Invitational/100-Hurdles,TFRRS all_performances
"Jackson, Destiny",Georgia,SEC,400m,2022,JR-3,,,54.14,seconds,Georgia Tech Yellow Jacket Invitational,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/73542/4425685/Georgia_Tech_Yellow_Jacket_Invitational/400-Meters,TFRRS all_performances
"McClintock, Halle",Georgia,SEC,400m,2022,SR-4,,,56.24,seconds,Georgia Tech Yellow Jacket Invitational,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/73542/4425685/Georgia_Tech_Yellow_Jacket_Invitational/400-Meters,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.46,seconds,Florida State Relays,2022-03-24,,,-0.4,Outdoor,https://www.tfrrs.org/results/73791/4439083/Florida_State_Relays/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.70,seconds,Florida State Relays,2022-03-24,,,-0.4,Outdoor,https://www.tfrrs.org/results/73791/4439083/Florida_State_Relays/100-Hurdles,TFRRS all_performances
"Witt, Bella",Georgia,SEC,100H,2022,FR-1,,,14.19,seconds,Florida State Relays,2022-03-24,,,-0.4,Outdoor,https://www.tfrrs.org/results/73791/4439083/Florida_State_Relays/100-Hurdles,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.46,seconds,FSU Relays,2022-03-25,Final,1,,Outdoor,https://georgiadogs.com/sports/track-and-field/roster/imani-carothers/4950,legacy_source_needs_review
"Witt, Bella",Georgia,SEC,100H,2022,FR-1,,,14.19,seconds,FSU Relays,2022-03-25,Final,4,,Outdoor,https://georgiadogs.com/sports/track-and-field/roster/bella-witt/7640,legacy_source_needs_review
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.32,m,Florida Relays,2022-03-31,,,0.2,Outdoor,https://www.tfrrs.org/results/72948/4463900/Florida_Relays/Long-Jump,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.52,seconds,UF Tom Jones Memorial,2022-04-15,,,-1.0,Outdoor,https://www.tfrrs.org/results/73497/4502589/UF_Tom_Jones_Memorial/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,Long Jump,2022,FR-1,,,5.78,m,UF Tom Jones Memorial,2022-04-15,,,1.2,Outdoor,https://www.tfrrs.org/results/73497/4502590/UF_Tom_Jones_Memorial/Long-Jump,TFRRS all_performances
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.23,m,UF Tom Jones Memorial,2022-04-15,,,1.5,Outdoor,https://www.tfrrs.org/results/73497/4502560/UF_Tom_Jones_Memorial/Long-Jump,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.82,seconds,Georgia Tech Invitational,2022-04-22,,,-0.5,Outdoor,https://www.tfrrs.org/results/74751/4516397/Georgia_Tech_Invitational/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.38,seconds,Georgia Tech Invitational,2022-04-22,,,-0.5,Outdoor,https://www.tfrrs.org/results/74751/4516397/Georgia_Tech_Invitational/100-Hurdles,TFRRS all_performances
"Witt, Bella",Georgia,SEC,100H,2022,FR-1,,,14.24,seconds,Georgia Tech Invitational,2022-04-22,,,-0.5,Outdoor,https://www.tfrrs.org/results/74751/4516397/Georgia_Tech_Invitational/100-Hurdles,TFRRS all_performances
"Jackson, Destiny",Georgia,SEC,400m,2022,JR-3,,,54.26,seconds,Georgia Tech Invitational,2022-04-22,,,,Outdoor,https://www.tfrrs.org/results/74751/4516396/Georgia_Tech_Invitational/400-Meters,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,Long Jump,2022,FR-1,,,5.65,m,Georgia Tech Invitational,2022-04-22,,,-0.3,Outdoor,https://www.tfrrs.org/results/74751/4516399/Georgia_Tech_Invitational/Long-Jump,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,17.67,seconds,Torrin Lawrence Memorial Invite,2022-04-29,,,0.3,Outdoor,https://www.tfrrs.org/results/74967/4535934/Torrin_Lawrence_Memorial_Invite/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.65,seconds,Torrin Lawrence Memorial Invite,2022-04-29,,,0.3,Outdoor,https://www.tfrrs.org/results/74967/4535934/Torrin_Lawrence_Memorial_Invite/100-Hurdles,TFRRS all_performances
"Jackson, Destiny",Georgia,SEC,400m,2022,JR-3,,,54.27,seconds,Torrin Lawrence Memorial Invite,2022-04-29,,,,Outdoor,https://www.tfrrs.org/results/74967/4535932/Torrin_Lawrence_Memorial_Invite/400-Meters,TFRRS all_performances
"McClintock, Halle",Georgia,SEC,400m,2022,SR-4,,,56.16,seconds,Torrin Lawrence Memorial Invite,2022-04-29,,,,Outdoor,https://www.tfrrs.org/results/74967/4535932/Torrin_Lawrence_Memorial_Invite/400-Meters,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,Long Jump,2022,FR-1,,,5.53,m,Torrin Lawrence Memorial Invite,2022-04-29,,,-0.6,Outdoor,https://www.tfrrs.org/results/74967/4535936/Torrin_Lawrence_Memorial_Invite/Long-Jump,TFRRS all_performances
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.38,m,Torrin Lawrence Memorial Invite,2022-04-29,,,-1.8,Outdoor,https://www.tfrrs.org/results/74967/4535936/Torrin_Lawrence_Memorial_Invite/Long-Jump,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.99,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,-0.3,Outdoor,https://www.tfrrs.org/results/74844/4557141/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.78,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,+0.0,Outdoor,https://www.tfrrs.org/results/74844/4557141/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Jackson, Destiny",Georgia,SEC,400m,2022,JR-3,,,55.53,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,,Outdoor,https://www.tfrrs.org/results/74844/4557146/SEC_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.24,m,SEC Outdoor Track & Field Championships,2022-05-12,,,0.4,Outdoor,https://www.tfrrs.org/results/74844/4557129/SEC_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.41,seconds,NCAA East Preliminary Round,2022-05-25,,,-0.3,Outdoor,https://www.tfrrs.org/results/75213/4566148/NCAA_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Carothers, Imani",Georgia,SEC,100H,2022,JR-3,,,13.47,seconds,NCAA East Preliminary Round,2022-05-25,,,-1.4,Outdoor,https://www.tfrrs.org/results/75213/4566148/NCAA_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.51,seconds,NCAA East Preliminary Round,2022-05-25,,,-0.3,Outdoor,https://www.tfrrs.org/results/75213/4566148/NCAA_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Frye, Eddiyah",Georgia,SEC,100H,2022,FR-1,,,13.59,seconds,NCAA East Preliminary Round,2022-05-25,,,-1.4,Outdoor,https://www.tfrrs.org/results/75213/4566148/NCAA_East_Preliminary_Round/100-Hurdles,TFRRS all_performances
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.37,m,NCAA East Preliminary Round,2022-05-25,,,-1.7,Outdoor,https://www.tfrrs.org/results/75213/4566142/NCAA_East_Preliminary_Round/Long-Jump,TFRRS all_performances
"Marsh, Titiana",Georgia,SEC,Long Jump,2022,JR-3,,,6.26,m,NCAA Division I Outdoor Track & Field Championships,2022-06-08,,,0.1,Outdoor,https://www.tfrrs.org/results/75224/4567509/NCAA_Division_I_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,100H,2022,FR-1,,,14.60,seconds,Black and Gold Invite,2022-03-18,,,1.3,Outdoor,https://www.tfrrs.org/results/72780/4425373/Black_and_Gold_Invite/100-Hurdles,TFRRS all_performances
"Williams, Annika",Kentucky,SEC,100H,2022,SO-2,,,14.81,seconds,Black and Gold Invite,2022-03-18,,,1.8,Outdoor,https://www.tfrrs.org/results/72780/4425373/Black_and_Gold_Invite/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,400H,2022,SO-2,,,1:15.43,seconds,Black and Gold Invite,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/72780/4425360/Black_and_Gold_Invite/400-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,400H,2022,JR-3,,,56.52,seconds,Black and Gold Invite,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/72780/4425360/Black_and_Gold_Invite/400-Hurdles,TFRRS all_performances
"McClennon, Dynasty",Kentucky,SEC,400m,2022,FR-1,,,55.88,seconds,Black and Gold Invite,2022-03-18,,,,Outdoor,https://www.tfrrs.org/results/72780/4425351/Black_and_Gold_Invite/400-Meters,TFRRS all_performances
"Jordan, Kendall",Kentucky,SEC,Long Jump,2022,FR-1,,,5.37,m,Black and Gold Invite,2022-03-18,,,1.4,Outdoor,https://www.tfrrs.org/results/72780/4425388/Black_and_Gold_Invite/Long-Jump,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,100H,2022,FR-1,,,14.65,seconds,2022 94th Clyde Littlefield Texas Relays,2022-03-23,,,1.6,Outdoor,https://www.tfrrs.org/results/72503/4452842/2022_94th_Clyde_Littlefield_Texas_Relays/100-Hurdles,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,Long Jump,2022,FR-1,,,5.65,m,2022 94th Clyde Littlefield Texas Relays,2022-03-23,,,1.2,Outdoor,https://www.tfrrs.org/results/72503/4452846/2022_94th_Clyde_Littlefield_Texas_Relays/Long-Jump,TFRRS all_performances
"Ballard, Shadajah",Kentucky,SEC,100H,2022,SO-2,,,13.93,seconds,Florida Relays,2022-03-31,,,-0.4,Outdoor,https://www.tfrrs.org/results/72948/4463913/Florida_Relays/100-Hurdles,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,100H,2022,FR-1,,,14.75,seconds,Florida Relays,2022-03-31,,,-0.4,Outdoor,https://www.tfrrs.org/results/72948/4463913/Florida_Relays/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,100H,2022,SO-2,,,13.97,seconds,Florida Relays,2022-03-31,,,-0.4,Outdoor,https://www.tfrrs.org/results/72948/4463913/Florida_Relays/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,100H,2022,JR-3,,,13.18,seconds,Florida Relays,2022-03-31,,,-0.4,Outdoor,https://www.tfrrs.org/results/72948/4463913/Florida_Relays/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,400H,2022,SO-2,,,1:04.83,seconds,Florida Relays,2022-03-31,,,,Outdoor,https://www.tfrrs.org/results/72948/4463928/Florida_Relays/400-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,400H,2022,JR-3,,,55.41,seconds,Florida Relays,2022-03-31,,,,Outdoor,https://www.tfrrs.org/results/72948/4463928/Florida_Relays/400-Hurdles,TFRRS all_performances
"Holmes, Alexis",Kentucky,SEC,400m,2022,JR-3,,,51.94,seconds,Florida Relays,2022-03-31,,,,Outdoor,https://www.tfrrs.org/results/72948/4463895/Florida_Relays/400-Meters,TFRRS all_performances
"McClennon, Dynasty",Kentucky,SEC,400m,2022,FR-1,,,55.38,seconds,Florida Relays,2022-03-31,,,,Outdoor,https://www.tfrrs.org/results/72948/4463895/Florida_Relays/400-Meters,TFRRS all_performances
"Moss, Megan",Kentucky,SEC,400m,2022,SO-2,,,53.08,seconds,Florida Relays,2022-03-31,,,,Outdoor,https://www.tfrrs.org/results/72948/4463895/Florida_Relays/400-Meters,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,Long Jump,2022,FR-1,,,5.50,m,Florida Relays,2022-03-31,,,0.1,Outdoor,https://www.tfrrs.org/results/72948/4463897/Florida_Relays/Long-Jump,TFRRS all_performances
"Jackson, Jasmine",Kentucky,SEC,400m,2022,FR-1,,,1:01.09,seconds,2022 Oliver Nikoloff Invitational,2022-04-01,,,,Outdoor,https://www.tfrrs.org/results/73312/4461635/2022_Oliver_Nikoloff_Invitational_/400-Meters,TFRRS all_performances
"Wilson, Meg",Kentucky,SEC,Long Jump,2022,FR-1,,,5.18,m,2022 Oliver Nikoloff Invitational,2022-04-01,,,+0.0,Outdoor,https://www.tfrrs.org/results/73312/4461619/2022_Oliver_Nikoloff_Invitational_/Long-Jump,TFRRS all_performances
"Ballard, Shadajah",Kentucky,SEC,100H,2022,SO-2,,,13.48,seconds,LSU Joe May Invitational,2022-04-09,,,0.7,Outdoor,https://www.tfrrs.org/results/74133/4482433/LSU_Joe_May_Invitational/100-Hurdles,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,100H,2022,FR-1,,,14.63,seconds,LSU Joe May Invitational,2022-04-09,,,1.4,Outdoor,https://www.tfrrs.org/results/74133/4482433/LSU_Joe_May_Invitational/100-Hurdles,TFRRS all_performances
"Jordan, Kendall",Kentucky,SEC,100H,2022,FR-1,,,14.07,seconds,LSU Joe May Invitational,2022-04-09,,,1.4,Outdoor,https://www.tfrrs.org/results/74133/4482433/LSU_Joe_May_Invitational/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,100H,2022,SO-2,,,13.57,seconds,LSU Joe May Invitational,2022-04-09,,,0.7,Outdoor,https://www.tfrrs.org/results/74133/4482433/LSU_Joe_May_Invitational/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,100H,2022,JR-3,,,12.75,seconds,LSU Joe May Invitational,2022-04-09,,,0.7,Outdoor,https://www.tfrrs.org/results/74133/4482433/LSU_Joe_May_Invitational/100-Hurdles,TFRRS all_performances
"Williams, Annika",Kentucky,SEC,100H,2022,SO-2,,,14.34,seconds,LSU Joe May Invitational,2022-04-09,,,0.7,Outdoor,https://www.tfrrs.org/results/74133/4482433/LSU_Joe_May_Invitational/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,400H,2022,SO-2,,,1:03.14,seconds,LSU Joe May Invitational,2022-04-09,,,,Outdoor,https://www.tfrrs.org/results/74133/4482458/LSU_Joe_May_Invitational/400-Hurdles,TFRRS all_performances
"McClennon, Dynasty",Kentucky,SEC,400m,2022,FR-1,,,55.73,seconds,LSU Joe May Invitational,2022-04-09,,,,Outdoor,https://www.tfrrs.org/results/74133/4482456/LSU_Joe_May_Invitational/400-Meters,TFRRS all_performances
"Moss, Megan",Kentucky,SEC,400m,2022,SO-2,,,52.90,seconds,LSU Joe May Invitational,2022-04-09,,,,Outdoor,https://www.tfrrs.org/results/74133/4482456/LSU_Joe_May_Invitational/400-Meters,TFRRS all_performances
"Williams, Annika",Kentucky,SEC,Long Jump,2022,SO-2,,,6.10,m,LSU Joe May Invitational,2022-04-09,,,0.5,Outdoor,https://www.tfrrs.org/results/74133/4482439/LSU_Joe_May_Invitational/Long-Jump,TFRRS all_performances
"Ballard, Shadajah",Kentucky,SEC,100H,2022,SO-2,,,13.19,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,-0.1,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Ballard, Shadajah",Kentucky,SEC,100H,2022,SO-2,,,13.20,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.5,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Boyke-Johnson, Carolyn",Kentucky,SEC,100H,2022,FR-1,,,14.66,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,-0.1,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,100H,2022,FR-1,,,14.33,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.5,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,100H,2022,FR-1,,,14.36,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,-0.1,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Jordan, Kendall",Kentucky,SEC,100H,2022,FR-1,,,13.91,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.5,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Jordan, Kendall",Kentucky,SEC,100H,2022,FR-1,,,13.92,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,-0.7,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,100H,2022,SO-2,,,13.16,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.5,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,100H,2022,SO-2,,,13.34,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,-0.1,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,100H,2022,JR-3,,,12.71,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.5,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,100H,2022,JR-3,,,12.90,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,-0.6,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Williams, Annika",Kentucky,SEC,100H,2022,SO-2,,,14.38,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,-0.7,Outdoor,https://www.tfrrs.org/results/70609/4516848/2022_Kentucky_Track__Field_Invitational/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,400H,2022,SO-2,,,1:02.17,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,,Outdoor,https://www.tfrrs.org/results/70609/4514292/2022_Kentucky_Track__Field_Invitational/400-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,400H,2022,JR-3,,,56.46,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,,Outdoor,https://www.tfrrs.org/results/70609/4514292/2022_Kentucky_Track__Field_Invitational/400-Hurdles,TFRRS all_performances
"Holmes, Alexis",Kentucky,SEC,400m,2022,JR-3,,,51.54,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,,Outdoor,https://www.tfrrs.org/results/70609/4516833/2022_Kentucky_Track__Field_Invitational/400-Meters,TFRRS all_performances
"Moss, Megan",Kentucky,SEC,400m,2022,SO-2,,,52.23,seconds,2022 Kentucky Track & Field Invitational,2022-04-22,,,,Outdoor,https://www.tfrrs.org/results/70609/4516833/2022_Kentucky_Track__Field_Invitational/400-Meters,TFRRS all_performances
"Galloway, Sophie",Kentucky,SEC,Long Jump,2022,FR-1,,,5.86,m,2022 Kentucky Track & Field Invitational,2022-04-22,,,+0.0,Outdoor,https://www.tfrrs.org/results/70609/4514297/2022_Kentucky_Track__Field_Invitational/Long-Jump,TFRRS all_performances
"Jordan, Kendall",Kentucky,SEC,Long Jump,2022,FR-1,,,5.66,m,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.9,Outdoor,https://www.tfrrs.org/results/70609/4514297/2022_Kentucky_Track__Field_Invitational/Long-Jump,TFRRS all_performances
"Williams, Annika",Kentucky,SEC,Long Jump,2022,SO-2,,,6.27,m,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.1,Outdoor,https://www.tfrrs.org/results/70609/4514297/2022_Kentucky_Track__Field_Invitational/Long-Jump,TFRRS all_performances
"Wilson, Meg",Kentucky,SEC,Long Jump,2022,FR-1,,,5.82,m,2022 Kentucky Track & Field Invitational,2022-04-22,,,0.1,Outdoor,https://www.tfrrs.org/results/70609/4514297/2022_Kentucky_Track__Field_Invitational/Long-Jump,TFRRS all_performances
"Ballard, Shadajah",Kentucky,SEC,100H,2022,SO-2,,,13.92,seconds,Drake Relays,2022-04-27,,,-0.9,Outdoor,https://www.tfrrs.org/results/74970/4536815/Drake_Relays/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,100H,2022,SO-2,,,13.56,seconds,Drake Relays,2022-04-27,,,-1.8,Outdoor,https://www.tfrrs.org/results/74970/4536815/Drake_Relays/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,100H,2022,SO-2,,,13.89,seconds,Drake Relays,2022-04-27,,,-3.0,Outdoor,https://www.tfrrs.org/results/74970/4536815/Drake_Relays/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,100H,2022,JR-3,,,13.53,seconds,Drake Relays,2022-04-27,,,-1.8,Outdoor,https://www.tfrrs.org/results/74970/4536815/Drake_Relays/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,100H,2022,JR-3,,,13.59,seconds,Drake Relays,2022-04-27,,,-2.3,Outdoor,https://www.tfrrs.org/results/74970/4536815/Drake_Relays/100-Hurdles,TFRRS all_performances
"Williams, Annika",Kentucky,SEC,100H,2022,SO-2,,,23.35,seconds,Drake Relays,2022-04-27,,,-2.8,Outdoor,https://www.tfrrs.org/results/74970/4536815/Drake_Relays/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,400H,2022,JR-3,,,56.27,seconds,Drake Relays,2022-04-27,,,,Outdoor,https://www.tfrrs.org/results/74970/4536759/Drake_Relays/400-Hurdles,TFRRS all_performances
"Ballard, Shadajah",Kentucky,SEC,100H,2022,SO-2,,,13.66,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,+0.0,Outdoor,https://www.tfrrs.org/results/74844/4557141/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Jordan, Kendall",Kentucky,SEC,100H,2022,FR-1,,,13.64,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,+0.0,Outdoor,https://www.tfrrs.org/results/74844/4557141/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Khan, Darci",Kentucky,SEC,100H,2022,SO-2,,,13.44,seconds,SEC Outdoor Track & Field Championships,2022-05-12,,,-0.3,Outdoor,https://www.tfrrs.org/results/74844/4557141/SEC_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
"Russell, Masai",Kentucky,SEC,100H,2022,JR-3,,,12.78,s,SEC Outdoor Track & Field Championships,2022-05-12,Final,3rd,2.1,Outdoor,https://www.tfrrs.org/athletes/6995394/Kentucky/Masai_Russell.html,legacy_source_needs_review
