index,athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
402,"Hill, Morganne",Washington,Big Ten,100H,2016,FR-1,,,14.71,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,0.9,Outdoor,https://www.tfrrs.org/results/44896/2740079/Pac-12_vs_Big_10_Invitational/100-Hurdles,TFRRS all_performances
403,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,JR-3,,,14.18,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,0.9,Outdoor,https://www.tfrrs.org/results/44896/2740079/Pac-12_vs_Big_10_Invitational/100-Hurdles,TFRRS all_performances
404,"Hill, Morganne",Washington,Big Ten,400H,2016,FR-1,,,1:01.21,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44896/2740081/Pac-12_vs_Big_10_Invitational/400-Hurdles,TFRRS all_performances
405,"Lester, Carly",Washington,Big Ten,400H,2016,FR-1,,,1:01.98,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44896/2740081/Pac-12_vs_Big_10_Invitational/400-Hurdles,TFRRS all_performances
406,"Birkenfeld, Carolyn",Washington,Big Ten,400m,2016,SO-2,,,56.15,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44896/2740103/Pac-12_vs_Big_10_Invitational/400-Meters,TFRRS all_performances
407,"Derby, Hannah",Washington,Big Ten,400m,2016,FR-1,,,55.69,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44896/2740103/Pac-12_vs_Big_10_Invitational/400-Meters,TFRRS all_performances
408,"Ford, Alexis",Washington,Big Ten,400m,2016,SR-4,,,57.03,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44896/2740103/Pac-12_vs_Big_10_Invitational/400-Meters,TFRRS all_performances
409,"Mires, Baylee",Washington,Big Ten,400m,2016,SR-4,,,56.45,seconds,Pac-12 vs Big 10 Invitational,2016-03-25,,,,Outdoor,https://www.tfrrs.org/results/44896/2740103/Pac-12_vs_Big_10_Invitational/400-Meters,TFRRS all_performances
410,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.15,m,Pac-12 vs Big 10 Invitational,2016-03-25,,,0.5,Outdoor,https://www.tfrrs.org/results/44896/2740092/Pac-12_vs_Big_10_Invitational/Long-Jump,TFRRS all_performances
411,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.45,m,Pac-12 vs Big 10 Invitational,2016-03-25,,,0.8,Outdoor,https://www.tfrrs.org/results/44896/2740092/Pac-12_vs_Big_10_Invitational/Long-Jump,TFRRS all_performances
412,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.70,m,Pac-12 vs Big 10 Invitational,2016-03-25,,,+0.0,Outdoor,https://www.tfrrs.org/results/44896/2740092/Pac-12_vs_Big_10_Invitational/Long-Jump,TFRRS all_performances
413,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,5.41,m,Pac-12 vs Big 10 Invitational,2016-03-25,,,0.5,Outdoor,https://www.tfrrs.org/results/44896/2740092/Pac-12_vs_Big_10_Invitational/Long-Jump,TFRRS all_performances
414,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,5.49,m,Pac-12 vs Big 10 Invitational,2016-03-25,,,+0.0,Outdoor,https://www.tfrrs.org/results/44896/2740092/Pac-12_vs_Big_10_Invitational/Long-Jump,TFRRS all_performances
415,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,5.53,m,Pac-12 vs Big 10 Invitational,2016-03-25,,,1.7,Outdoor,https://www.tfrrs.org/results/44896/2740092/Pac-12_vs_Big_10_Invitational/Long-Jump,TFRRS all_performances
416,"Smith, C.J.",Washington,Big Ten,100H,2016,SR-4,,,15.02,seconds,Stanford Invitational,2016-04-01,,,0.6,Outdoor,https://www.tfrrs.org/results/45256/2762439/Stanford_Invitational/100-Hurdles,TFRRS all_performances
417,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,JR-3,,,14.42,seconds,Pepsi Invitational,2016-04-09,,,0.9,Outdoor,https://www.tfrrs.org/results/43371/2781336/Pepsi_Invitational/100-Hurdles,TFRRS all_performances
418,"Stueckle, Kimberly",Washington,Big Ten,100H,2016,SR-4,,,14.55,seconds,Pepsi Invitational,2016-04-09,,,0.9,Outdoor,https://www.tfrrs.org/results/43371/2781336/Pepsi_Invitational/100-Hurdles,TFRRS all_performances
419,"Hill, Morganne",Washington,Big Ten,400H,2016,FR-1,,,1:01.27,seconds,Pepsi Invitational,2016-04-09,,,,Outdoor,https://www.tfrrs.org/results/43371/2781354/Pepsi_Invitational/400-Hurdles,TFRRS all_performances
420,"Lester, Carly",Washington,Big Ten,400H,2016,FR-1,,,1:03.07,seconds,Pepsi Invitational,2016-04-09,,,,Outdoor,https://www.tfrrs.org/results/43371/2781354/Pepsi_Invitational/400-Hurdles,TFRRS all_performances
421,"Apostol, Imani",Washington,Big Ten,400m,2016,FR-1,,,57.83,seconds,Pepsi Invitational,2016-04-09,,,,Outdoor,https://www.tfrrs.org/results/43371/2781357/Pepsi_Invitational/400-Meters,TFRRS all_performances
422,"Birkenfeld, Carolyn",Washington,Big Ten,400m,2016,SO-2,,,57.22,seconds,Pepsi Invitational,2016-04-09,,,,Outdoor,https://www.tfrrs.org/results/43371/2781357/Pepsi_Invitational/400-Meters,TFRRS all_performances
423,"Ford, Alexis",Washington,Big Ten,400m,2016,SR-4,,,57.03,seconds,Pepsi Invitational,2016-04-09,,,,Outdoor,https://www.tfrrs.org/results/43371/2781357/Pepsi_Invitational/400-Meters,TFRRS all_performances
424,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.39,m,Pepsi Invitational,2016-04-09,,,1.3,Outdoor,https://www.tfrrs.org/results/43371/2781364/Pepsi_Invitational/Long-Jump,TFRRS all_performances
425,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.51,m,Pepsi Invitational,2016-04-09,,,1.4,Outdoor,https://www.tfrrs.org/results/43371/2781364/Pepsi_Invitational/Long-Jump,TFRRS all_performances
426,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.75,m,Pepsi Invitational,2016-04-09,,,1.9,Outdoor,https://www.tfrrs.org/results/43371/2781364/Pepsi_Invitational/Long-Jump,TFRRS all_performances
427,"Budinich, Ericka",Washington,Big Ten,100H,2016,FR-1,,,17.19,seconds,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,,,-0.8,Outdoor,https://www.tfrrs.org/results/43242/2854300/Mt_SAC_Relays_CA_Invitational_Multi_Events/100-Hurdles,TFRRS all_performances
428,"Smith, C.J.",Washington,Big Ten,100H,2016,SR-4,,,15.13,seconds,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,,,0.4,Outdoor,https://www.tfrrs.org/results/43242/2854300/Mt_SAC_Relays_CA_Invitational_Multi_Events/100-Hurdles,TFRRS all_performances
429,"Budinich, Ericka",Washington,Big Ten,Long Jump,2016,FR-1,,,4.89,m,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,,,+0.0,Outdoor,https://www.tfrrs.org/results/43242/2854304/Mt_SAC_Relays_CA_Invitational_Multi_Events/Long-Jump,TFRRS all_performances
430,"Budinich, Ericka",Washington,Big Ten,Long Jump,2016,FR-1,,,5.28,m,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,,,+0.0,Outdoor,https://www.tfrrs.org/results/43242/2854304/Mt_SAC_Relays_CA_Invitational_Multi_Events/Long-Jump,TFRRS all_performances
431,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,5.40,m,Mt. SAC Relays/CA Invitational Multi Events,2016-04-13,,,-0.3,Outdoor,https://www.tfrrs.org/results/43242/2854304/Mt_SAC_Relays_CA_Invitational_Multi_Events/Long-Jump,TFRRS all_performances
432,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,SR,,,14.45,seconds,Mt. SAC Relays,2016-04-14,,,-0.6,Outdoor,https://www.tfrrs.org/results/45871/2806851/Mt_SAC_Relays/100-Hurdles,TFRRS all_performances
433,"Stueckle, Kimberly",Washington,Big Ten,100H,2016,,,,14.73,seconds,Mt. SAC Relays,2016-04-14,,,-1.4,Outdoor,https://www.tfrrs.org/results/45871/2806851/Mt_SAC_Relays/100-Hurdles,TFRRS all_performances
434,"Birkenfeld, Carolyn",Washington,Big Ten,400m,2016,JR-3,,,56.14,seconds,Mt. SAC Relays,2016-04-14,,,,Outdoor,https://www.tfrrs.org/results/45871/2806829/Mt_SAC_Relays/400-Meters,TFRRS all_performances
435,"Ford, Alexis",Washington,Big Ten,400m,2016,,,,54.96,seconds,Mt. SAC Relays,2016-04-14,,,,Outdoor,https://www.tfrrs.org/results/45871/2806829/Mt_SAC_Relays/400-Meters,TFRRS all_performances
436,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,JR-3,,,13.98,seconds,Beach Invitational,2016-04-15,,,0.4,Outdoor,https://www.tfrrs.org/results/45870/2809531/Beach_Invitational/100-Hurdles,TFRRS all_performances
437,"Armstead, Krista",Washington,Big Ten,400H,2016,SR-4,,,1:02.91,seconds,Beach Invitational,2016-04-15,,,,Outdoor,https://www.tfrrs.org/results/45870/2809548/Beach_Invitational/400-Hurdles,TFRRS all_performances
438,"Hill, Morganne",Washington,Big Ten,400H,2016,FR-1,,,1:00.92,seconds,Beach Invitational,2016-04-15,,,,Outdoor,https://www.tfrrs.org/results/45870/2809548/Beach_Invitational/400-Hurdles,TFRRS all_performances
439,"Lester, Carly",Washington,Big Ten,400H,2016,FR-1,,,1:01.06,seconds,Beach Invitational,2016-04-15,,,,Outdoor,https://www.tfrrs.org/results/45870/2809548/Beach_Invitational/400-Hurdles,TFRRS all_performances
440,"Birkenfeld, Carolyn",Washington,Big Ten,400m,2016,SO-2,,,56.73,seconds,Beach Invitational,2016-04-15,,,,Outdoor,https://www.tfrrs.org/results/45870/2809536/Beach_Invitational/400-Meters,TFRRS all_performances
441,"Ford, Alexis",Washington,Big Ten,400m,2016,SR-4,,,55.31,seconds,Beach Invitational,2016-04-15,,,,Outdoor,https://www.tfrrs.org/results/45870/2809536/Beach_Invitational/400-Meters,TFRRS all_performances
442,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.24,m,Beach Invitational,2016-04-15,,,+0.0,Outdoor,https://www.tfrrs.org/results/45870/2809525/Beach_Invitational/Long-Jump,TFRRS all_performances
443,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.54,m,Beach Invitational,2016-04-15,,,1.6,Outdoor,https://www.tfrrs.org/results/45870/2809525/Beach_Invitational/Long-Jump,TFRRS all_performances
444,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.59,m,Beach Invitational,2016-04-15,,,1.0,Outdoor,https://www.tfrrs.org/results/45870/2809525/Beach_Invitational/Long-Jump,TFRRS all_performances
445,"Hill, Morganne",Washington,Big Ten,100H,2016,FR-1,,,14.48,seconds,WSU-UW Dual Meet,2016-04-23,,,0.6,Outdoor,https://www.tfrrs.org/results/44391/2827758/_WSU-UW_Dual_Meet/100-Hurdles,TFRRS all_performances
446,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,JR-3,,,13.81,seconds,WSU-UW Dual Meet,2016-04-23,,,0.6,Outdoor,https://www.tfrrs.org/results/44391/2827758/_WSU-UW_Dual_Meet/100-Hurdles,TFRRS all_performances
447,"Stueckle, Kimberly",Washington,Big Ten,100H,2016,SR-4,,,14.22,seconds,WSU-UW Dual Meet,2016-04-23,,,0.6,Outdoor,https://www.tfrrs.org/results/44391/2827758/_WSU-UW_Dual_Meet/100-Hurdles,TFRRS all_performances
448,"Armstead, Krista",Washington,Big Ten,400H,2016,SR-4,,,1:02.44,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827768/_WSU-UW_Dual_Meet/400-Hurdles,TFRRS all_performances
449,"Harris, Nicole",Washington,Big Ten,400H,2016,SR-4,,,1:04.61,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827768/_WSU-UW_Dual_Meet/400-Hurdles,TFRRS all_performances
450,"Hill, Morganne",Washington,Big Ten,400H,2016,FR-1,,,1:00.94,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827768/_WSU-UW_Dual_Meet/400-Hurdles,TFRRS all_performances
451,"Lester, Carly",Washington,Big Ten,400H,2016,FR-1,,,1:00.87,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827768/_WSU-UW_Dual_Meet/400-Hurdles,TFRRS all_performances
452,"Apostol, Imani",Washington,Big Ten,400m,2016,FR-1,,,57.68,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827765/_WSU-UW_Dual_Meet/400-Meters,TFRRS all_performances
453,"Birkenfeld, Carolyn",Washington,Big Ten,400m,2016,SO-2,,,55.99,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827765/_WSU-UW_Dual_Meet/400-Meters,TFRRS all_performances
454,"Derby, Hannah",Washington,Big Ten,400m,2016,FR-1,,,55.63,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827765/_WSU-UW_Dual_Meet/400-Meters,TFRRS all_performances
455,"Ford, Alexis",Washington,Big Ten,400m,2016,SR-4,,,57.12,seconds,WSU-UW Dual Meet,2016-04-23,,,,Outdoor,https://www.tfrrs.org/results/44391/2827765/_WSU-UW_Dual_Meet/400-Meters,TFRRS all_performances
456,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.47,m,WSU-UW Dual Meet,2016-04-23,,,1.2,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
457,"Adler, Kate",Washington,Big Ten,Long Jump,2016,SO-2,,,5.70,m,WSU-UW Dual Meet,2016-04-23,,,0.3,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
458,"Baron, Ciana",Washington,Big Ten,Long Jump,2016,JR-3,,,4.55,m,WSU-UW Dual Meet,2016-04-23,,,1.6,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
459,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.83,m,WSU-UW Dual Meet,2016-04-23,,,1.2,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
460,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.87,m,WSU-UW Dual Meet,2016-04-23,,,1.6,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
461,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.94,m,WSU-UW Dual Meet,2016-04-23,,,0.4,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
462,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.96,m,WSU-UW Dual Meet,2016-04-23,,,1.1,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
463,"Budinich, Ericka",Washington,Big Ten,Long Jump,2016,FR-1,,,5.13,m,WSU-UW Dual Meet,2016-04-23,,,0.6,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
464,"Budinich, Ericka",Washington,Big Ten,Long Jump,2016,FR-1,,,5.14,m,WSU-UW Dual Meet,2016-04-23,,,1.2,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
465,"Budinich, Ericka",Washington,Big Ten,Long Jump,2016,FR-1,,,5.29,m,WSU-UW Dual Meet,2016-04-23,,,1.2,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
466,"Coker, Alanna",Washington,Big Ten,Long Jump,2016,JR-3,,,5.28,m,WSU-UW Dual Meet,2016-04-23,,,1.0,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
467,"Coker, Alanna",Washington,Big Ten,Long Jump,2016,JR-3,,,5.29,m,WSU-UW Dual Meet,2016-04-23,,,0.6,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
468,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,5.14,m,WSU-UW Dual Meet,2016-04-23,,,0.2,Outdoor,https://www.tfrrs.org/results/44391/2827781/_WSU-UW_Dual_Meet/Long-Jump,TFRRS all_performances
469,"Budinich, Ericka",Washington,Big Ten,100H,2016,FR-1,,,20.04,seconds,Ken Shannon Invitational,2016-04-30,,,-0.2,Outdoor,https://www.tfrrs.org/results/44401/2844567/Ken_Shannon_Invitational/100-Hurdles,TFRRS all_performances
470,"Hill, Morganne",Washington,Big Ten,100H,2016,FR-1,,,15.17,seconds,Ken Shannon Invitational,2016-04-30,,,-0.2,Outdoor,https://www.tfrrs.org/results/44401/2844567/Ken_Shannon_Invitational/100-Hurdles,TFRRS all_performances
471,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,JR-3,,,13.85,seconds,Ken Shannon Invitational,2016-04-30,,,-0.2,Outdoor,https://www.tfrrs.org/results/44401/2844567/Ken_Shannon_Invitational/100-Hurdles,TFRRS all_performances
472,"Stueckle, Kimberly",Washington,Big Ten,100H,2016,SR-4,,,14.03,seconds,Ken Shannon Invitational,2016-04-30,,,-0.2,Outdoor,https://www.tfrrs.org/results/44401/2844567/Ken_Shannon_Invitational/100-Hurdles,TFRRS all_performances
473,"Armstead, Krista",Washington,Big Ten,400H,2016,SR-4,,,1:01.98,seconds,Ken Shannon Invitational,2016-04-30,,,,Outdoor,https://www.tfrrs.org/results/44401/2844543/Ken_Shannon_Invitational/400-Hurdles,TFRRS all_performances
474,"Harris, Nicole",Washington,Big Ten,400H,2016,SR-4,,,1:04.03,seconds,Ken Shannon Invitational,2016-04-30,,,,Outdoor,https://www.tfrrs.org/results/44401/2844543/Ken_Shannon_Invitational/400-Hurdles,TFRRS all_performances
475,"Hill, Morganne",Washington,Big Ten,400H,2016,FR-1,,,1:01.20,seconds,Ken Shannon Invitational,2016-04-30,,,,Outdoor,https://www.tfrrs.org/results/44401/2844543/Ken_Shannon_Invitational/400-Hurdles,TFRRS all_performances
476,"Lester, Carly",Washington,Big Ten,400H,2016,FR-1,,,1:01.57,seconds,Ken Shannon Invitational,2016-04-30,,,,Outdoor,https://www.tfrrs.org/results/44401/2844543/Ken_Shannon_Invitational/400-Hurdles,TFRRS all_performances
477,"Apostol, Imani",Washington,Big Ten,400m,2016,FR-1,,,56.36,seconds,Ken Shannon Invitational,2016-04-30,,,,Outdoor,https://www.tfrrs.org/results/44401/2844574/Ken_Shannon_Invitational/400-Meters,TFRRS all_performances
478,"Birkenfeld, Carolyn",Washington,Big Ten,400m,2016,SO-2,,,56.01,seconds,Ken Shannon Invitational,2016-04-30,,,,Outdoor,https://www.tfrrs.org/results/44401/2844574/Ken_Shannon_Invitational/400-Meters,TFRRS all_performances
479,"Ford, Alexis",Washington,Big Ten,400m,2016,SR-4,,,55.42,seconds,Ken Shannon Invitational,2016-04-30,,,,Outdoor,https://www.tfrrs.org/results/44401/2844574/Ken_Shannon_Invitational/400-Meters,TFRRS all_performances
480,"Baron, Ciana",Washington,Big Ten,Long Jump,2016,JR-3,,,4.44,m,Ken Shannon Invitational,2016-04-30,,,1.9,Outdoor,https://www.tfrrs.org/results/44401/2844550/Ken_Shannon_Invitational/Long-Jump,TFRRS all_performances
481,"Baron, Ciana",Washington,Big Ten,Long Jump,2016,JR-3,,,4.53,m,Ken Shannon Invitational,2016-04-30,,,-0.2,Outdoor,https://www.tfrrs.org/results/44401/2844550/Ken_Shannon_Invitational/Long-Jump,TFRRS all_performances
482,"Baron, Ciana",Washington,Big Ten,Long Jump,2016,JR-3,,,4.54,m,Ken Shannon Invitational,2016-04-30,,,-1.1,Outdoor,https://www.tfrrs.org/results/44401/2844550/Ken_Shannon_Invitational/Long-Jump,TFRRS all_performances
483,"Baron, Ciana",Washington,Big Ten,Long Jump,2016,JR-3,,,4.59,m,Ken Shannon Invitational,2016-04-30,,,0.1,Outdoor,https://www.tfrrs.org/results/44401/2844550/Ken_Shannon_Invitational/Long-Jump,TFRRS all_performances
484,"Smith, C.J.",Washington,Big Ten,100H,2016,SR-4,,,14.81,seconds,Pac-12 Combined Events Championships,2016-05-07,,,1.6,Outdoor,https://www.tfrrs.org/results/45707/2865731/Pac-12_Combined_Events_Championships/100-Hurdles,TFRRS all_performances
485,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,4.97,m,Pac-12 Combined Events Championships,2016-05-07,,,-0.7,Outdoor,https://www.tfrrs.org/results/45707/2865735/Pac-12_Combined_Events_Championships/Long-Jump,TFRRS all_performances
486,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,5.33,m,Pac-12 Combined Events Championships,2016-05-07,,,0.3,Outdoor,https://www.tfrrs.org/results/45707/2865735/Pac-12_Combined_Events_Championships/Long-Jump,TFRRS all_performances
487,"Smith, C.J.",Washington,Big Ten,100H,2016,SR-4,,,14.81,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,1.6,Outdoor,https://www.tfrrs.org/results/45708/2877306/Pac-12_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
488,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,JR-3,,,13.84,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,1.0,Outdoor,https://www.tfrrs.org/results/45708/2877264/Pac-12_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
489,"Sophusson Smith, Naivasha",Washington,Big Ten,100H,2016,JR-3,,,13.96,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,-0.5,Outdoor,https://www.tfrrs.org/results/45708/2877264/Pac-12_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
490,"Stueckle, Kimberly",Washington,Big Ten,100H,2016,SR-4,,,14.00,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,0.2,Outdoor,https://www.tfrrs.org/results/45708/2877264/Pac-12_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
491,"Stueckle, Kimberly",Washington,Big Ten,100H,2016,SR-4,,,14.10,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,-0.5,Outdoor,https://www.tfrrs.org/results/45708/2877264/Pac-12_Outdoor_Track__Field_Championships/100-Hurdles,TFRRS all_performances
492,"Armstead, Krista",Washington,Big Ten,400H,2016,SR-4,,,1:02.04,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,,Outdoor,https://www.tfrrs.org/results/45708/2877263/Pac-12_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
493,"Hill, Morganne",Washington,Big Ten,400H,2016,FR-1,,,1:01.88,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,,Outdoor,https://www.tfrrs.org/results/45708/2877263/Pac-12_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
494,"Lester, Carly",Washington,Big Ten,400H,2016,FR-1,,,1:02.11,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,,Outdoor,https://www.tfrrs.org/results/45708/2877263/Pac-12_Outdoor_Track__Field_Championships/400-Hurdles,TFRRS all_performances
495,"Birkenfeld, Carolyn",Washington,Big Ten,400m,2016,SO-2,,,55.97,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,,Outdoor,https://www.tfrrs.org/results/45708/2877289/Pac-12_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
496,"Ford, Alexis",Washington,Big Ten,400m,2016,SR-4,,,55.75,seconds,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,,Outdoor,https://www.tfrrs.org/results/45708/2877289/Pac-12_Outdoor_Track__Field_Championships/400-Meters,TFRRS all_performances
497,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.64,m,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,1.6,Outdoor,https://www.tfrrs.org/results/45708/2877300/Pac-12_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
498,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.82,m,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,1.1,Outdoor,https://www.tfrrs.org/results/45708/2877300/Pac-12_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
499,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.95,m,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,0.4,Outdoor,https://www.tfrrs.org/results/45708/2877300/Pac-12_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
500,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,4.97,m,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,-0.7,Outdoor,https://www.tfrrs.org/results/45708/2877310/Pac-12_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
501,"Smith, C.J.",Washington,Big Ten,Long Jump,2016,SR-4,,,5.33,m,Pac-12 Outdoor Track & Field Championships,2016-05-14,,,0.3,Outdoor,https://www.tfrrs.org/results/45708/2877310/Pac-12_Outdoor_Track__Field_Championships/Long-Jump,TFRRS all_performances
502,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,2.76,m,NCAA Division I - West Preliminary Round,2016-05-26,,,+0.0,Outdoor,https://www.tfrrs.org/results/46681/2882654/NCAA_Division_I_-_West_Preliminary_Round/Long-Jump,TFRRS all_performances
503,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.37,m,NCAA Division I - West Preliminary Round,2016-05-26,,,+0.0,Outdoor,https://www.tfrrs.org/results/46681/2882654/NCAA_Division_I_-_West_Preliminary_Round/Long-Jump,TFRRS all_performances
504,"Bouyer, Kennadi",Washington,Big Ten,Long Jump,2016,JR-3,,,5.49,m,NCAA Division I - West Preliminary Round,2016-05-26,,,+0.0,Outdoor,https://www.tfrrs.org/results/46681/2882654/NCAA_Division_I_-_West_Preliminary_Round/Long-Jump,TFRRS all_performances
