athlete,school,conference,event,season,class_year,birth_date,age_at_meet,performance,unit,meet,meet_date,round,place,wind,indoor_outdoor,source_url,data_status
Filippa Fotopoulou,Alabama,SEC,Long Jump,2016,SO,,,5.93,meters,War Eagle Invitational,2016-04-23,Final,,1.1,Outdoor,https://www.tfrrs.org/athletes/5112888/Alabama/Filippa_Fotopoulou_,Verified 2016 outdoor result; historical coverage check pending
Kiara Williams,Alabama,SEC,Long Jump,2016,FR,,,5.89,meters,War Eagle Invitational,2016-04-23,Final,,0.2,Outdoor,https://www.tfrrs.org/athletes/5610043/Alabama/Kiara_Williams,Verified 2016 outdoor result; historical coverage check pending
Lacey Dent,Alabama,SEC,Long Jump,2016,SR,,,6.07,meters,War Eagle Invitational,2016-04-23,Final,5,2.3,Outdoor,https://www.tfrrs.org/athletes/4167050/Alabama/Lacey_Dent.html,Verified 2016 outdoor result; historical coverage check pending
Quanesha Burks,Alabama,SEC,Long Jump,2016,JR,,,6.76,meters,War Eagle Invitational,2016-04-23,Final,,1.8,Outdoor,https://www.tfrrs.org/athletes/4638071/Alabama/Quanesha_Burks.html,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.45,seconds,LSU Invitational,2016-04-30,Final,6,2.1,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Alex Gholston,Alabama,SEC,400m,2016,JR,,,52.48,seconds,LSU Invitational,2016-04-30,Final,5,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
Domonique Williams,Alabama,SEC,400m,2016,SO,,,53.44,seconds,LSU Invitational,2016-04-30,Final,8,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2016 outdoor result; historical coverage check pending
Katie Funcheon,Alabama,SEC,400m,2016,FR,,,53.82,seconds,LSU Invitational,2016-04-30,Final,,,Outdoor,https://www.tfrrs.org/athletes/5610036/Alabama/Katie_Funcheon.html,Verified 2016 outdoor result; historical coverage check pending
Filippa Fotopoulou,Alabama,SEC,Long Jump,2016,SO,,,5.83,meters,LSU Invitational,2016-04-30,Final,,1.6,Outdoor,https://www.tfrrs.org/athletes/5112888/Alabama/Filippa_Fotopoulou_,Verified 2016 outdoor result; historical coverage check pending
Kiara Williams,Alabama,SEC,Long Jump,2016,FR,,,5.61,meters,LSU Invitational,2016-04-30,Final,,3.1,Outdoor,https://www.tfrrs.org/athletes/5610043/Alabama/Kiara_Williams,Verified 2016 outdoor result; historical coverage check pending
Lacey Dent,Alabama,SEC,Long Jump,2016,SR,,,6.1,meters,LSU Invitational,2016-04-30,Final,3,1.9,Outdoor,https://www.tfrrs.org/athletes/4167050/Alabama/Lacey_Dent.html,Verified 2016 outdoor result; historical coverage check pending
Quanesha Burks,Alabama,SEC,Long Jump,2016,JR,,,6.76,meters,LSU Invitational,2016-04-30,Final,,3.7,Outdoor,https://www.tfrrs.org/athletes/4638071/Alabama/Quanesha_Burks.html,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.23,seconds,SEC Championships,2016-05-12,Prelim,6,0.9,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Alex Gholston,Alabama,SEC,400m,2016,JR,,,52.54,seconds,SEC Championships,2016-05-12,Prelim,1,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
Domonique Williams,Alabama,SEC,400m,2016,SO,,,53.12,seconds,SEC Championships,2016-05-12,Prelim,10,,Outdoor,https://www.tfrrs.org/athletes/5612047/Alabama/Domonique_Williams,Verified 2016 outdoor result; historical coverage check pending
Katie Funcheon,Alabama,SEC,400m,2016,FR,,,54.84,seconds,SEC Championships,2016-05-12,Prelim,,,Outdoor,https://www.tfrrs.org/athletes/5610036/Alabama/Katie_Funcheon.html,Verified 2016 outdoor result; historical coverage check pending
Filippa Fotopoulou,Alabama,SEC,Long Jump,2016,SO,,,6.1,meters,SEC Championships,2016-05-13,Final,,1.4,Outdoor,https://www.tfrrs.org/athletes/5112888/Alabama/Filippa_Fotopoulou_,Verified 2016 outdoor result; historical coverage check pending
Kiara Williams,Alabama,SEC,Long Jump,2016,FR,,,5.16,meters,SEC Championships,2016-05-13,Final,26,-1.6,Outdoor,https://www.tfrrs.org/athletes/5610043/Alabama/Kiara_Williams,Verified 2016 outdoor result; historical coverage check pending
Lacey Dent,Alabama,SEC,Long Jump,2016,SR,,,5.96,meters,SEC Championships,2016-05-13,Final,17,0.8,Outdoor,https://www.tfrrs.org/athletes/4167050/Alabama/Lacey_Dent.html,Verified 2016 outdoor result; historical coverage check pending
Quanesha Burks,Alabama,SEC,Long Jump,2016,JR,,,6.77,meters,SEC Championships,2016-05-13,Final,1,-0.4,Outdoor,https://www.tfrrs.org/athletes/4638071/Alabama/Quanesha_Burks.html,Verified 2016 outdoor result; historical coverage check pending
Vanessa Clerveaux,Alabama,SEC,100H,2016,JR,,,13.29,seconds,SEC Championships,2016-05-14,Final,6,0.7,Outdoor,https://www.tfrrs.org/athletes/4638072/Alabama/Vanessa_Clerveaux.html,Verified 2016 outdoor result; historical coverage check pending
Alex Gholston,Alabama,SEC,400m,2016,JR,,,52.11,seconds,SEC Championships,2016-05-14,Final,5,,Outdoor,https://www.tfrrs.org/athletes/4638073/Alabama/Alex_Gholston,Verified 2016 outdoor result; historical coverage check pending
